109.75,9.875
177.5,22.5
72.28571,25.42857
91.6,24.2
144.66667,25.33333
108.5,26
117,33
81,35
165,36
165,46.5
36.83333,49.33333
95,49
72,59
188.5,58.5
63.5,65
79,69
181,69
111.5,71
161,75
205.75,77
123.5,79.5
220.66667,78.66667
64.375,80.375
26,82.625
103,87.25
149.66667,92.33333
173.5,93.5
83,103.25
10,107
114.66667,107.88889
64.6,109.8
137.14286,109.92857
47.2,110.6
36.5,116.25
135.8,118.6
13.5,121
106,122
96.75,124.25
28,132
79,133.5
38.66667,134.66667
9.5,138
127.5,142.5
54.66667,148.33333
129,150.84615
159,153.5
118.5,154.5
79,157.5
101,159
240.66667,160.66667
56.5,163.5
228.4,165.2
240.25,164.75
73.33333,171.66667
147,170
23.71429,172.42857
148,174
178.66667,182.33333
232,183
214.66667,184.33333
153,189
171,189
87.33333,191.33333
108.5,191
146,196
125,201.25
163,201
176.66667,208.33333
104.5,219
164,218
69.5,220
158,221
126,223
84,229.625
91,233
117.71429,232.57143
144,234
134.75,241.25
117.2,33
